Dallas_RC	R.C. Dallas?! Dallas Robert Charles Sir PC (Her Majesty’s Most Honourable Privy Council) SL (Serjeant-at-Law) KC (King’s Counsel) MP (Member of Parliament)	literary?! biographer?! editor?! translator?! legal?! judge	http://viaf.org/viaf/25774123
Dante	DurantedegliAlighieri?! Dante?! Dante Alighieri	literary?! military?! political	http://viaf.org/viaf/97105654
Daphne_pet	Daphne		
Davenport_MA	Harvey Davenport Mary Ann	actor?! singer	http://viaf.org/viaf/63569766
Davie_William	Davie William Three Mile Cross	beer retailer?! butcher	
de_Chaboulon	Pierre Alexandre Édouard Fleury deChaboulon	political	http://viaf.org/viaf/44411886
Defoe_D	Daniel Defoe	literary	http://viaf.org/viaf/39375774
deGenlis_Mme	Stéphanie Félicité de Genlis?! Stéphanie Félicité du Crest de Saint-Aubin?! Comtesse de Genlis?! Madame de Genlis	literary?! educator	http://viaf.org/viaf/71391471
DeJoinville	Jean de Joinville?! Jean de Joinville?! knight	literary	http://viaf.org/viaf/59191609/
Dekker_Thos	Dekker Thomas	literary?! playwright?! journalist	http://viaf.org/viaf/39402413
delaMotte_F	Freidrich de la Motte?! Friedrich Heinrich Karl de la Motte?! Baron Fouqué	literary	http://viaf.org/viaf/44298932
DeQuincey_Thos	de Quincey Thomas	literary?! journalist	http://viaf.org/viaf/14768427
deStael	Germaine de Staël?! Anne Louise Germaine Necker de Staël-Holstein?! Madame de Staël	literary	http://viaf.org/viaf/89204033
Dibdin_TJ	Thomas John Dibdin?! Dibdin Thomas John	literary?! playwright?! songwriter?! actor?! theatrical production designer	http://viaf.org/viaf/69673002
Dickens	Dickens Charles John Huffam	literary?! editor?! novelist?! journalist?! essayist?! lecturer	http://viaf.org/viaf/88666393
Dickinson_Charles	Dickinson Charles?! Mr. Dickinson		
Dickinson_Daughter	Dickinson Frances Vikris		
Dickinson_Grandmama	Grandmama Dickinson		
Dickinson_Mrs	Mrs. Dickinson?! Catherine Allingham Dickinson		
Dickinson_Nurse	Dickinson Nurse		
Dobbs_Mrs	Mrs. Dobbs?! Dobbs		
Doge_F_hist	Foscari Doge		
Donato_hist	Donato Senator		
Doria_Andrea	Andrea Doria?! Andrea Doria?! D’Oria	Condottiero?! admiral?! military	http://viaf.org/viaf/59091300
Drake_Nathan	Nathan Drake?! Dr. Drake?! Nathan Drake, M.D.	medical?! literary?! essayist	http://viaf.org/viaf/15551790
Drover_James	Drover James		
Drover_Miss	Drover		
Drover_Mr	Drover		
Drover_Mrs	Drover		
Drover_MrsJames	Drover		
Drummond_Wm	William Drummond?! Drummond William?! Drummond of Hawthornden	literary?! poet	http://viaf.org/viaf/6176613
Dryden	Dryden John	literary?! playwright	http://viaf.org/viaf/68937979
Duke_Montrose	James Graham, Marquess of Graham?! Graham James Marquess of Graham Duke of Montrose	political	http://viaf.org/viaf/51592900
Duke_of_Devonshire	William George Spencer Cavendish 6th Duke of Devonshire Marquess of Hartington Lord Chamberlain of the Household Licenser of Plays President of Royal Horticultural Society Lord Lieutenant of Derbyshire	politician?! courtier?! ambassador?! arts patron	http://viaf.org/viaf/25344590
Dukinfield_Mr	Dukinfield?! Henry Duckinfield		
Duncan_MR	Maria Rebecca Davison, née Duncan?! Davison Duncan Maria Rebecca?! Miss Duncan?! Mrs. Davison	actor	http://viaf.org/viaf/78999376
Dundas_C	Charles Dundas?! 1st Baron Amesbury?! Member of Parliament for Berkshire	politician	http://viaf.org/viaf/56481343
Edgeworth_Maria	Edgeworth Maria	literary?! educator	http://viaf.org/viaf/71477273
Elford_Eliz_da	Elizabeth Elford Adams		
Elford_Elizabeth	Elford Adams Elizabeth		
Elford_Grace	Grace Chard Elford?! Miss Elford		
Elford_J	Elford Jonathan?! Member of Parliament for Westbury	politician?! military	
Elford_MrsC	Charlotte Wynne Elford?! Mrs. Elford		
Elford_MrsE	Hall Walrond Elford Elizabeth?! Mrs. Elford		
Elford_MrsM	Elford Davies Mary?! Mrs. Elford		
Elford_SirWm	Sir William Elford?! Sir William Elford, F.R.S., F.L.S., M.P.?! Elford William Sir baronet Recorder for Plymouth Recorder for Totnes Member of Parliament for Plymouth Member of Parliament for Rye Fellow of the Royal Society (FRS) Fellow of the Linnaean Society (FLS)	legal?! banker?! politician?! military?! naturalist?! painter	http://viaf.org/viaf/6415021
ElizI	Elizabeth Tudor Queen Elizabeth I Queen of England, France and Ireland, Defender of the Faith, etc.		http://viaf.org/viaf/97107753
Ellis_Hen	Sir Henry Ellis?! Ellis Henry	diplomatist	
Elliston_Robt	Robert Elliston?! Elliston Robert William	actor?! theater manager	http://viaf.org/viaf/3833089/
Emery_John	Emery John	musician?! actor	http://viaf.org/viaf/63571188
Esther_Ozoro	Ozoro Esther?! Esther		
Euripides	Euripides	playwright?! literary	http://viaf.org/viaf/265326651
Fairfax_hist	Thomas Fairfax 3rd Lord Fairfax of Cameron Lord General of the New Model Army Member of Parliament for West Riding Member of Parliament for Yorkshire	politician?! military	http://viaf.org/viaf/74654593
Fawcett_John	Fawcett John?! Mr. Fawcett	actor?! literary?! playwright	http://viaf.org/viaf/51958044
Fearon_HB	Henry Bradshaw Fearon	literary?! medical?! traveller	
Ferdinand_I	Ferdinand I King of the Two Sicilies?! Ferdinand IV King of Naples King of Sicily	monarch	http://viaf.org/viaf/16073751
FerdinandVII	Ferdinand VII King of Spain King of Spain	monarch	http://viaf.org/viaf/286447916
Ferrier_Susan	Susan Edmonstone Ferrier	literary	http://viaf.org/viaf/64052998
Fielding_Henry	Fielding Henry?! Henry Fielding?! Scriblerus Secundus	literary	http://viaf.org/viaf/61545697
Fields_JT	Fields James Thomas	literary?! poet?! publisher?! editor	http://viaf.org/viaf/1254825
Fieschi_GL	Giovanni Luigi Fieschi Fiesco count of Lavagna		http://viaf.org/viaf/44439255
Finden_Ed	Finden Edward Francis	literary?! editor?! artist?! engraver?! printmaker	
Finden_Wm	Finden William	literary?! editor?! artist?! engraver?! printmaker	http://viaf.org/viaf/27339290
Fisher_John	John Fisher?! Bishop of Exeter?! Bishop of Salisbury	clergy	
Fitzharris	Fitzharris?! Mr. Fitzharris		
